Taxa,Acc
hpev_8/KP974632/Bulgaria/Stara/Zagora-region/2011,KP974632
hpev_9/KY931639/Ghana/2007,KY931639
hpev_9/KY931636/Ghana/2007,KY931636
hpev_9/KY931638/Ghana/2007,KY931638
hpev_9/KY931635/Ghana/2007,KY931635
hpev_9/KY931637/Ghana/2007,KY931637
hpev_9/JX219575/2004,JX219575
hpev_9/JX219578/Bolivia/2002,JX219578
hpev_9/JX219577/Bolivia/2002,JX219577
hpev_9/JX219576/Bolivia/2002,JX219576
hpev_13/KF626462/Pakistan/2008,KF626462
hpev_13/KF626454/Pakistan/2008,KF626454
hpev_13/KF626450/Pakistan/2008,KF626450
hpev_13/JX219579/2005,JX219579
hpev_16/JX219580/2008,JX219580
hpev_16/KJ743661/India/2008,KJ743661
hpev_16/KJ743665/India/2008,KJ743665
hpev_6/KY931612/Ghana/2007,KY931612
hpev_1/EU360555/Norway/2005,EU360555
hpev_unknown/AB112487//2000,AB112487
hpev_unknown/AB112485//1999,AB112485
hpev_1/FJ373074/Netherlands/2004,FJ373074
hpev_1/KC893408/Netherlands/2008,KC893408
hpev_6/KJ743686/India/2007,KJ743686
hpev_2/AB443808/Netherlands/2003,AB443808
hpev_11/JX219574/2004,JX219574
hpev_6/JN129205/Finland/2002,JN129205
hpev_1/LC133456/Japan/Kanagawa/YokohamaCity/2014,LC133456
hpev_6/EU360541/Norway/2005,EU360541
hpev_2/KX011189/India/2014,KX011189
hpev_12/JX219567/Bangladesh/2004,JX219567
hpev_12/JX219566/2002,JX219566
hpev_1/GQ183024/Netherlands/1994,GQ183024
hpev_1/HQ163874/SriLanka/2005,HQ163874
hpev_1/KU884984/UnitedKingdom/2009,KU884984
hpev_1/LC062453/Japan/Niigata/1998,LC062453
hpev_1/FJ648747/Japan/2007,FJ648747
hpev_1/LC133455/Japan/Kanagawa/YokohamaCity/2014,LC133455
hpev_1/LC062500/Japan/Niigata/2014,LC062500
hpev_1/LC133460/Japan/Kanagawa/YokohamaCity/2015,LC133460
hpev_1/AB920401/Japan/Okinawa/2013,AB920401
hpev_1/KF300773/Denmark/2010,KF300773
hpev_1/LC133443/Japan/Kanagawa/YokohamaCity/2005,LC133443
hpev_1/FJ648752/Japan/2007,FJ648752
hpev_1/LC062458/Japan/Niigata/2001,LC062458
